date,cash,realized_pnl,open_pnl,total_pnl,portfolio_value,concurrent_positions,peak_value,drawdown,drawdown_pct
2020-11-27,1000000,4587427.758,572416.929093427,5159844.687093427,6159844.687093427,342,6159844.687093427,0.0,0.0
2020-12-04,1000000,4584026.458000001,669410.6772668504,5253437.135266851,6253437.135266851,381,6253437.135266851,0.0,0.0
2020-12-11,1000000,4584780.825999999,803753.9668016331,5388534.792801633,6388534.792801633,396,6388534.792801633,0.0,0.0
2020-12-18,1000000,4615645.366,915033.3510399823,5530678.717039983,6530678.717039983,396,6530678.717039983,0.0,0.0
2020-12-25,1000000,4631108.305,1041011.4319216765,5672119.736921676,6672119.736921676,390,6672119.736921676,0.0,0.0
2021-01-01,1000000,4651328.773,1161600.7277930884,5812929.500793088,6812929.500793088,370,6812929.500793088,0.0,0.0
2021-01-08,1000000,4706418.138,1247251.8078290075,5953669.945829008,6953669.945829008,347,6953669.945829008,0.0,0.0
2021-01-15,1000000,4739751.237,1352817.5835049865,6092568.820504986,7092568.820504986,356,7092568.820504986,0.0,0.0
2021-01-22,1000000,4796825.265000001,1435997.061316146,6232822.326316146,7232822.326316146,373,7232822.326316146,0.0,0.0
2021-01-29,1000000,4910246.509,1465588.325876014,6375834.834876014,7375834.834876014,338,7375834.834876014,0.0,0.0
2021-02-05,1000000,4955234.091,1563404.0398261389,6518638.130826139,7518638.130826139,328,7518638.130826139,0.0,0.0
2021-02-12,1000000,5006318.853,1648905.908981253,6655224.761981253,7655224.761981253,351,7655224.761981253,0.0,0.0
2021-02-19,1000000,5144840.011,1636346.7944337975,6781186.805433798,7781186.805433798,351,7781186.805433798,0.0,0.0
2021-02-26,1000000,5597549.519,1298179.020543294,6895728.539543294,7895728.539543294,272,7895728.539543294,0.0,0.0
2021-03-05,1000000,5596626.235,1393908.890991727,6990535.125991727,7990535.125991727,268,7990535.125991727,0.0,0.0
2021-03-12,1000000,6058585.887,1009705.4445362368,7068291.331536237,8068291.331536237,203,8068291.331536237,0.0,0.0
