date,value,cash,positions,peak,dd,month,year
2022-04-06,2348974.7900000047,2187759.3000000045,14,2371704.380000002,-0.9583652242526745,2022-04,2022
2022-04-07,2348441.5300000045,2187759.3000000045,14,2371704.380000002,-0.9808494766956471,2022-04,2022
2022-04-08,2348326.0600000042,2187759.3000000045,14,2371704.380000002,-0.9857181273155953,2022-04,2022
2022-04-11,2347861.3100000047,2207386.5900000045,12,2371704.380000002,-1.00531373981767,2022-04,2022
2022-04-12,2348380.8200000045,2219577.0900000045,11,2371704.380000002,-0.9834092392238912,2022-04,2022
2022-04-13,2349629.1300000045,2219577.0900000045,11,2371704.380000002,-0.9307757824353157,2022-04,2022
2022-04-14,2350689.4700000044,2219577.0900000045,11,2371704.380000002,-0.8860678496532439,2022-04,2022
2022-04-18,2351459.4400000046,2219577.0900000045,11,2371704.380000002,-0.853603011012595,2022-04,2022
2022-04-19,2352220.8300000043,2209630.5100000044,12,2371704.380000002,-0.8214999375258535,2022-04,2022
2022-04-20,2353382.9900000044,2209630.5100000044,12,2371704.380000002,-0.7724988895959194,2022-04,2022
2022-04-21,2352614.2400000044,2209630.5100000044,12,2371704.380000002,-0.804912288436124,2022-04,2022
2022-04-22,2350976.1700000046,2209630.5100000044,12,2371704.380000002,-0.8739794965508144,2022-04,2022
2022-04-25,2349278.520000004,2209630.5100000044,12,2371704.380000002,-0.945558822132714,2022-04,2022
2022-04-26,2346808.3500000043,2209630.5100000044,12,2371704.380000002,-1.0497105039709,2022-04,2022
2022-04-27,2344981.8600000045,2218813.0300000045,11,2371704.380000002,-1.1267222097889649,2022-04,2022
2022-04-28,2343784.9400000046,2218813.0300000045,11,2371704.380000002,-1.1771888703936024,2022-04,2022
2022-04-29,2342674.390000005,2231834.5000000047,10,2371704.380000002,-1.2240138461100032,2022-04,2022
2022-05-02,2341575.8400000045,2243084.3200000045,9,2371704.380000002,-1.2703328565762348,2022-05,2022
